text,cluster
"no , I cant ,to much is wrong with the elected Government .So Ill stand here alone ,just be careful Im part Ukraine yeah wow hey .",4
"I get the message, but this guy is considered to be a clown even in Ukraine.",4
Le hecking Ukrainian scientists...developed the nukesin Ukraine but White people stole it from us!!!!and we cannot develop them again for some reason,4
"Well as they will be in Ukraine, Ukraine simply needs to authorise them. Problem solved.",4
Will we miss the war in Ukraine because of all the gore kino that came out of it? Man I just love watching Ukraine fuck Russian ass.,4
SLAVA UKRAINI! Ukraine has the cojones to do what the EU is too cowardly to undertake!,4
"He just froze US aid to Ukraine, as an American I have to say its time for yall to wake up and understand that you can no longer count on us. Find other sources of aid, this man has already betrayed you.",4
Hell yes! Donating $2k to Ukraine every year.,4
Yes go Ukraine 🇺🇦 burn mordor to the ground its the only way SLAVA UKRAINE 🇺🇦 🇺🇦🇮🇪,4
"Trump spoke with putin, agreed to start negotiations on Ukraine, visit each othervisitation when?",4
If the peace deal creates a Ukraine in which they can no longer exist they will most certinally rebelAnd its easier than ever to cause major damage to a countries infrastructure as a non-state actor.,4
Time to throw out ussr book and any influence as if it never happened need a new Ukraine on all levels,4
"That clown is causing nothing but trouble for Ukraine, and causing the European coalition to fracture!",4
Yes I support Ukraine absolutely and without wavering.,4
"Ukraine wont give him those regions and theres no way Putin takes Kherson, Harkov, Zaporizhie. It will be the same government in Ukraine and they will be getting a shit ton of money and weapons from EU and the US. On top of that Ukraine will get NATO army on their territory even though they are not going to be called NATO but its basically NATO army. Its not even a victory no matter how they try to feed it to the Russian population.",4
"Biden slowed him down, but he is still on track to screw over Ukraine.",4
The European coalition supporting Ukraine is now totally coming apart.,4
Tick tock hoholsI wonder what everyone who collaborated with zelensky is going to be tried forYou betrayed Ukraine,4
"Point being Russia did not want to be cornered.And they werent going to be, our government in particular would have never let Ukraine join NATO.in its vulnerability to disruption to its resource demands.The Russian navy is struggling even in peace time. They cant do shit.No European country nor the USA has fought a peer conflict in over  years.And Ukraine has been independent for all of thirty years and spent twenty of those years demilitarizing their country.",4
"georgiatried join nato, attacked seperatists under russian peacekeeping since the schechensdrug den  terrorist denukrainetried join nato, burned russians alive in odessa and tried pushing out russian language from the east, any country with self respect would save their own volktransnistriasame as ukraine, saving their ownsyriaasked for help and is still askingnext argument nafo troon, i know bending over and letting your people get eradicated is popular in nafo countries but it isnt here.",4
"Clueless. Even if Putin resigned today, the Russians would still wipe out Ukraine!",4
there were posts yesterday leaking that Trump dumping Ukraine would happen.,4
I dont expect Ukraine to ever get back Crimea desu. But what about the rest?,4
Ukraine needs manpower much more than equipment! They cant even hold defensive lines anymore.,4
NATO would be unbeatable with Ukraine.,4
"America is not involved in Putins war crime spree in Ukraine. Hes committing atrocities and crimes against humanity there utterly unprovoked. Putin was never concerned about having NATO neighbors before, hes certainly not being honest about it now. The US has no part in Russias illegal presence in Ukraine so it makes no sense Putin is trying forcing the US to make concessions by holding Ukrainians hostage.Its wrong for a murderer to steal the property of his murder victims.Its wrong for Putin to murder Ukrainians then steal their land. Putin will end his invasion if Trump doesnt suck his cock.Its shameful to watch the leader of the free world cave in to KGB midget",4
Nigga this war wouldve been over but BIDEN OVERREACH has put us and Ukraine in a worse situation. it is literally all the fault of the Globalists that this deal had to go the way it did.,4
"Yes, from a foreign policy perspective youd want to stick this thing instead of what the EU had been taking a leading role on blowing up and being a disaster. Which is what happened. And not only that, but it was the EU who was taking the leading role here by pressuring Ukraine to take the EU deal, but had years before prevented them from joining NATO. Merkel and Sarkozy. They couldve joined NATO when George Bush was president. But those two chose Russian gas.",4
I dont think Putin has ever even been to Ukraine though.,4
"From The Telegraph: Bulgaria stands to receive about €500 million £415 million from its military support to Ukraine over the past three years. “By helping Ukraine, we are actually helping ourselves,” Atanas Zapryanov the defence minister, said. Sofia benefited from about €300 million in compensation from the United States and the European Commission for sending Soviet-era military hardware to Kyiv. It also received €174 million from Denmark  part of two contracts to support Ukraine’s military in its struggle against the Russian invasion Eastern European countries with arsenals of Soviet-era weapons became crucial in the West’s military support for Ukraine. Read more: ",4
Time to throw out ussr book and any influence as if it never happened need a new Ukraine on all levels,4
"You are the enemy, so its ok to destroy Ukraine?",4
I recently started to realise that the USA has been right all along by not allowing the presidential election in Ukraine. I was wrong by not supporting Zelensky. The latest contracts for  y.o. are hilarious. THD is coming closer.,4
"I get the message, but this guy is considered to be a clown even in Ukraine.",4
"Nah, we are comfy.First russians need to get out of the Ukraine clusterfuck. Seeing how fast they go we have another  years of comfy living.",4
Yes go Ukraine 🇺🇦 burn mordor to the ground its the only way SLAVA UKRAINE 🇺🇦 🇺🇦🇮🇪,4
"Russian cockgobbler, much like Trump.Europe will give Ukraine much better weapons than amerimutt overpriced shite and they will defeat Russhitia.Fuck Americucks.",4
"Merz must first return all his bribes and afd borrowed talking points. Dont believe or trust that guy, he is not interested in Ukraine, Germany or Europe.",4
feel free to die for ukraine thennot Americas problem,4
"Either this whooshed over my head, or you typed the same thing twice. Shouldnt it be: A. Russians when blah blah is in Western Ukraine. B. Russians when blah blah is in Russian occupied Ukraine. Yours has both sentences saying the same thing... Also, the picture should just be a drunken idiot in both pictures.",4
i am sure Ukraine would not mind having that shit in their cells... it would actually be punishment... Finland is too civilised.,4
"Fuck, I’d just hand Ukraine all the money.",4
"He literally is saving Ukraine. I guarantee you, our fags will cuck out and let hohols keep their fucking government and army in exchange for % of the country. Preserving vyshyvanka brainrot and ensuring that we can do it all over again in s.",4
No. Nato is for the North Atlantic. The clue is in the name.The rebuilt German army (with guns instead of broomsticks) will defend Ukraine. You know the region due to being there.,4
NATO would be unbeatable with Ukraine.,4
"Yes, 100%, Canada supports Ukraine 🇺🇦",4
"I dont think people realise that this is Zelensky hinting at whats going to happen if the US ceases military aid. It would be absolutely insane for Ukraine not to have begun work on a basic nuclear device for its own defense at this point in time. Expect more nations to develop their own nuclear weapons within a few decades. If you cant beat them, get them.",4
"Either this whooshed over my head, or you typed the same thing twice. Shouldnt it be: A. Russians when blah blah is in Western Ukraine. B. Russians when blah blah is in Russian occupied Ukraine. Yours has both sentences saying the same thing... Also, the picture should just be a drunken idiot in both pictures.",4
I’m glad Ukraine has been defiant in the face of all odds. I’m sorry that Biden gave Putin the green light for invasion.,4
"You are ridiculous, tankie. Stepan Bandera is a historical character, not a politician. His ideology is forbidden and strictly prosecuted in Ukraine, and it hasnt and never had any influence in independent Ukraine. Glorification of him is symbolical, not political - like Americans are glorifying George Washnigton as a war leader, but not as a slaver, while he actually was the one. Stepan Bandera was not a positive figure at all, but unfortunately he was the most known fighter for independent Ukraine, and tbis is why he is being recognised.",4
This faggot killed some random guy for fun and got away with murder in UkraineHe will be in jail if he stays in Ukraine after the collapse of Zelenskys regime,4
"“If Europe wants to remain the worthy heiress of the Greek city, the Enlightenment, Tocqueville, Churchill, and Jan Palach, it will stand by Ukraine until victory.” — By Galia Ackerman: ",4
I could totally see a situation where China tries to go in and buy up all of the destroyed areas of Ukraine in order to grow wheat and ship it back to China.,4
"Ukraine was destabalized by EU overthrowing the Ukraines Russian friendly leaderThat was your out of control jewry, you retard, along with their euro puppets",4
"Fuck, I’d just hand Ukraine all the money.",4
"You are ridiculous, tankie. Stepan Bandera is a historical character, not a politician. His ideology is forbidden and strictly prosecuted in Ukraine, and it hasnt and never had any influence in independent Ukraine. Glorification of him is symbolical, not political - like Americans are glorifying George Washnigton as a war leader, but not as a slaver, while he actually was the one. Stepan Bandera was not a positive figure at all, but unfortunately he was the most known fighter for independent Ukraine, and tbis is why he is being recognised.",4
funniest thing is by invading ukraine to prevent NATO expansion Putin actually caused NATO expansion and  countries joined.,4
Why people would be hostile towards freedom fighters?!? Slava ukraine Salva TTC,4
Yes I do! Just submitted my monthly $500 to Ukraine since few months started war. Always support Ukraine for their freedom!,4
What exactly was Globohomos end goal with Ukraine? Where exactly did the plan start to derail?,4
Without USAID propaganda ukraine will come back to reality and elect Medvechuk.Remember my post. Nigger !,4
Ukraine will find you and justice will be served!,4
YES! AND IT IS FROM THE NATIONAL FORESTS OF TEMPORARILY OCCUPIED UKRAINE FROM 2014 - 2022. DNA TESTING WILL CONFIRM. SEIZE ALL SHIPS AND RETURN LUMPER TO UKRAINE AND SHIPS TO UKRAINES NEW MERCHANT MARINES !!!!!!!!!!!!!!!!!!!!,4
My opinion on Ukraine has never swayed. We gave them their word when Ukraine gave up their nuclear arsenal. I dont understand why this is never mentioned in this media.,4
Fucking good. Keep it up Ukraine. At this rate in 6 months time they will have hit everyone. 😀,4
"I dont think people realise that this is Zelensky hinting at whats going to happen if the US ceases military aid. It would be absolutely insane for Ukraine not to have begun work on a basic nuclear device for its own defense at this point in time. Expect more nations to develop their own nuclear weapons within a few decades. If you cant beat them, get them.",4
Youre free to fly to Ukraine yourself.,4
One million is coming fast! Thanks UKRAINE !,4
are you spitting on me or ukraine?,4
And the invest come out. This was the anticipation from Orban all along. Putler SMO success leaves western Ukraine to former regional powers.,4
The best way for Germany to keep the ruZZian army at a safe distance is to provide the long range weapons that Ukraine needs.,4
SKY NEWS SEETHING RIGHT NOW LIVEFUCKING HILARIOUS.Sickening for Ukraine todayOutright betrayalUS admits zero chance of Ukraine returning to pre  or pre  and calls it a illusion borderline delusion.Zero American forces in UkraineNo Article  protections for any NATO troops sent to Ukraine.US is turning away from Ukraine and Europe to face China and the homefront.Zelensky must be deeply furious and worried at the same time.Putin and Trump agree to talks and to work together.,4
"Absolutely. In fact, it concerns me a bit that people have forgotten about Ukraine because of the conflict in Gaza. Don’t get me wrong, I think it’s important too, but at the same time we can’t forget about continuing to support Ukraine’s fight against Russia.",4
" will no longer front the lions share of aid to Ukraine, the Trump administration said today in a devastating blow to Kyiv that will pile pressure on Europe to fill the void.Defense Secretary Pete Hegseth said that Washington will no longer tolerate an imbalanced relationship with its allies, adding that Europe must provide the overwhelming share of future lethal and non-lethal aid to Ukraine.In a boon for Vladimir Putin, he added that the United States would not deploy troops to Ukraine under any peace deal with Russia - one of the key security guarantees requested by Ukrainian President Volodymyr Zelenskyy.Hegseth also said that it was unrealistic for Ukraine to expect to return to a pre-war state, saying any peace process must start by recognizing that returning to Ukraines pre- borders is an unrealistic objective.The United States remains committed to the NATO alliance and to the defense partnership with Europe, full stop, he said. But the United States will no longer tolerate an imbalanced relationship which encourages dependency.Trump maintains that he is in talks with both Russia and Ukraine, and had floated the idea of trading aid for access to rare Ukrainian minerals. Speaking to the Ukraine Defense Contact Group at the NATO HQ in Belgium, Hegseth sought to clarify President Donald Trumps positions on whether NATO should accept Ukraine as a member, the annexed portions of the country by Russia, and Europes role in Ukraines defense. Honesty will be our policy going forward, Hegseth stated during his speech to the Ukraine Defense Contact Group.He repeated that Trump was committed to ending the war and bringing about a negotiated peace between Russia and Ukraine. The bloodshed must stop and this war must end, Hegseth said.",4
"We funded the color revolution to support the EU making money? Can you show me where US foreign policy was involved at all in this process, before? You seem to be well acquainted, so surely you can show where we were involved in funding a political movement to support the EU making money after the EU roundly rejected Ukraine being in NATO anyways?",4
The title is misleading. The video is about countries which support Ukraine the most looking at % of their GDP. Not the most the most aka in absolute numbers.,4
I’m glad Ukraine has been defiant in the face of all odds. I’m sorry that Biden gave Putin the green light for invasion.,4
"According to X, this guy is a Putin sympathizer, the prime rib of Slovakia, and upset because Ukraine is banning the transit of russian natural gas.",4
"The Russians have already made it clear what their conditions are merely to begin negotiations: The AFU has to withdraw from Kherson, Donetsk, Lugansk, and Zaporozhie and Ukraine has to formally renounce its intentions to join NATO. The latter is easy because of picrel: Ukraine will never be in NATO and even the US has finally admitted it. The former will never happen because the ultranationalists in Kiev will not stand for it. The war will continue and that probably suits the Russians fine since they are winning.",4
"Hey man, thats not before. Did I go off your retarded brown pajeet script where you have no answer as to why, or showing by any measure at all, that the US was funding a color revolution so that the EU makes money, before it actually happened?In reality, shitskinned pajeet, it was just oligarchs fighting with each other and stepping on each others territory, and the EU being retarded as usual. The US came in to try and mop up the EUs mess, despite the fact that the EU prevented Ukraine from joining NATO.",4
And the invest come out. This was the anticipation from Orban all along. Putler SMO success leaves western Ukraine to former regional powers.,4
"If the collective West fails to ensure Ukrainian military victory, then we may aswell throw out all of the Geneva conventions, The Hague etc. Should the Russian state continue to exist, then Ukraine needs to obtain nuclear weapons on its own to ensure it can destroy all Russian institutions and delete these scum.",4
Sorry for everything your country and people are experiencing. Wish you guys the strength and perseverance. Slava Ukraine,4
This funding of Ukraine has gone on long enough. Every taxpayer dollar sent to Ukraine is a dollar that could have been gifted to Israel. Thankfully Trump will right the wrongs of the past  years and resume paying Israel what it’s owed with interest.,4
"The delusional Ukraine fan, always thinking theyre one aid package away from total victory",4
Its over you lying nigger. Ukraine lost and theres absolutely nothing you can do about it.,4
"Yes, Ukraine deserves to be liberated by all means possible. 🇺🇦🇺🇦🇺🇦",4
Ukraine needs to be given the weapons and help it needs to take mordor and make it human again SLAVA UKRAINE 🇺🇦 🇮🇪,4
I love Goncharenko. Hes one of my favorite humans for the past few years. This speech was as good as his Welcome to Ukraine speech when Russia was amassing along the borders of Ukraine,4
US boots wont be in UkraineI doubt it. Ukraine has minerals and oil we can buy and extract.,4
"Previous: ▶Day:  — Daily battlefield assessment: class=""quote"">Zelensky had an hour-long call with TrumpTrump spoke with putin, agreed to start negotiations on Ukraine, visit each otherReturning to pre- Ukraine borders was unrealistic and chasing this illusionary goal will only prolong the war and cause more suffering - US Defense Secretary Pete HegsethNATO membership for Ukraine is not a realistic outcome of a negotiated settlement - HegsethUkrainian Defense Minister Umerov met with Hegseth for the first timeThe Czech Republic has effectively blocked for an indefinite period the possibility for russians to obtain Czech citizenship without renouncing their russian passportThe SBU exposed a top FSB rat in its ranksrussnigger ballistic chimpout on Kyiv, at least one killedUS special envoy to Kyiv, Keith Kellogg to visit Ukraine on  FebruaryWeapons approved under Joe Biden’s presidency are still flowing to Ukraine - KelloggUkrainian gas and oil company Naftogaz confirmed missile strikes at the natural gas extracting facilities in Poltava regionSmoooking accident at Saratov oil refineryth Mechanized Brigade shot down russian Su- at Toretsk axisRussia has started to deploy donkeys for frontline logistics, Duma declares it normalKURSK OFFENSYIV ONGOINGThe first French Mirage  aircraft have arrived in Ukraine today▶Telegram explorer) confirmed losses)▶Maps SOLDIER (diary of a RU mobik)TOUR : : : :",4
slava ukrajini! germany stands with ukraine,4
"Isnt it clear by now that Russia doesnt give a fuck what you do sanction wise! They literally have Gov interest rates higher than our credit cards! They dont pay their meatwaves, they just entice them with fake bonuses that never get cashed cause its a oneway ticket to Ukraine. Russians only understand violence. I mean they literally beat their wives LEGALLY. And rape each other in prison for fun. Youd have more of an effect by bombing all their vodka distilleries. Send Ukraine some nukes capable of hitting Moscow, and youve won. Once Putin knows Ukraine has nukes, hell pull out. If youre too pussy to send nukes, then atleast send missiles capable of hitting Moscow. Also start kidnapping all the Russian Oligarchs kids that are overseas in London, Paris, Zurich, Dubai etc... once you have their families, theyll do anything to get them back and that means a full withdrawal from Ukraine in exchange for their release. Im honestly surprised this hasnt happened already. These Russian Oligarch kids are fucking idiots hitting nightclubs all the time. A special ops Ukrainian unit could easily pick them up in those cities. Sure they have some armed Russian mafia bodyguards, wtf are they going to do against Ukrainian special ops. Theyll be dead before they even know what it em. GO AFTER THE OLIGARCHS KIDS. KIDNAP THEM FOR MASSIVE LEVERAGE.",4
Rest in peace all of you innocent Ukrainians who has lost their lives. Glory to the heroes defending Ukraine.,4
More land to barter with. Go Ukraine Go!,4
"pretty much, maybe if % of the almost one trillion dollars the US sent to the Ukraine hadnt disappeared things would have worked out better",4
slava ukrajini! germany stands with ukraine,4
"It doesnt matter if Ukraine kickstarts it or some other country, but nuclear proliferation will be direct consequence of this disastrous policy that has been happening for  years, and it will end uo in Ukraine eventually. You are just too stupid too see it.",4
"I get it all, but this would probably just fuel the russian people to further militarization and aggression towards ukraine. A",4
Ukraine has no fighting age males left and all the women have been trafficked into foreign sex markets. It cant possibly be any more over than it is right now.,4
Outer/pol/ is super delightful take a peek. Ukraine is getting its face rolled it shit,4
"DAILY REMINDER:UKRAINE DESTROYED % OF THE ORIGINAL RUSSIAN MILITARY WITH .% OF THE U.S.A. FEDERAL BUDGET ALSO ZIGGERS LOST SYRIA AND ALL THEIR BASES, PORTS, AND AIRFIELDS ;D",4
What new factual information would possibly cause someone to stop supporting Ukraine?,4
"So help me understand. Recruit a dumbass, pay them a bucket of money, send them to the front and get them killed? I’m all for dead Russians but this plan is stupid. Slava Ukraine",4
"Or does Russia just try to stall for time while pushing onRussia will make some reasonable sounding demands, Ukraine will say no, Trump will wash his hands, thats best case.But Putin can actually just say fuck it and keep going, the US has nothing left to give Ukraine, Trump isnt going to send american troops into it. This would just fuck relations with the US, but those are over in  years no matter what.",4
"Best result for Ukraine is that Trumps ego gets bruised by Putin. Everyone but Trump expects Putin to intellectually run circles around Trump but big Don, unsurprisingly, is yet to see it.",4
They are exactly halving the aid to Ukraine…?!,4
"All that money and hardware earmarked for Ukraine is now going straight to Israel, where it rightfully belongs. Thanks goyim!",4
Without question. UKRAINE FOREVER ❤️,4
ukraine only had a purpose for our corrupt politicians and banking elite.There are no interests the American people have in ukraine.,4
"If Ukraine had nuclear weapons wed literally be engulfed in a third world war right now, or living out the aftermath of nuclear strikes.",4
"Is there is even 30,000 in Ukraine right now?",4
Nigga this war wouldve been over but BIDEN OVERREACH has put us and Ukraine in a worse situation. it is literally all the fault of the Globalists that this deal had to go the way it did.,4
Kursk isnt a part of the deal.Kursk was never going to be allowed to be a bargaining chip. The piggies were always going to leave the same way they came in.Ukraine will give up land in return for a ceasefire and an end to hostilities.,4
Much love respect from 🇺🇸... slava Ukraine 🇺🇦,4
"According to X, this guy is a Putin sympathizer, the prime rib of Slovakia, and upset because Ukraine is banning the transit of russian natural gas.",4
"You can take whatever the fuck you want and then Ukraine is your problem not ours.If it gets invaded again Trumps gonna have to go defend his deal lmao, not us.",4
I have also heard Israel is sending three nuclear weapons to the Ukraine,4
"Hes negotiating Ukraine and his starting point is No NATO, no US Peacekeeping troops, No recovered territoriesthats perfectly reasonable",4
Yep! Most Russians now want Ukraine completely obliterated. The sad part is that 70% of Ukrainians now want a peace deal!,4
I could totally see a situation where China tries to go in and buy up all of the destroyed areas of Ukraine in order to grow wheat and ship it back to China.,4
My opinion on Ukraine has never swayed. We gave them their word when Ukraine gave up their nuclear arsenal. I dont understand why this is never mentioned in this media.,4
"Thats the way to go putin wants to destroy Ukraines power grid, whats good for the goose is good for the gander for ever strike Russia does send 10 drones back on their power grid SLAVA UKRAINE 🇺🇦 🇮🇪",4
"Welcome to Ukraine, enjoy your stay. 💥",4
What new factual information would possibly cause someone to stop supporting Ukraine?,4
"Best result for Ukraine is that Trumps ego gets bruised by Putin. Everyone but Trump expects Putin to intellectually run circles around Trump but big Don, unsurprisingly, is yet to see it.",4
"Don’t depend on Trump for anything, he is just full of verbal bull*t as is Putin. The U.S. Republicans are lock-step with Trump’s authoritarian ways, none dare to challenge him, no guts, no glory. President Zelenskyy you are a decent, honorable man and this American continues to fully support you and the Ukrainian people. Good people all around this world want Russia out of all Ukraine’s land. Hopefully, in 2026 decent Americans will take back control of government, meanwhile we will resist and fight like hell. Slava Ukraini 🇺🇦🌻",4
Ukraine has no fighting age males left and all the women have been trafficked into foreign sex markets. It cant possibly be any more over than it is right now.,4
Not a time to push Putin paranoia. Trump is already doing it to the max. We do not want nuclear war in Ukraine It has never been closer. Putin has a bankrupt country a military that is questionable and failing support. Every Ukrainian drone burning Russian oil shows Putin has failed. This is dangerous. Ukraine has no choice but to push on the West needs to help but quietly.,4
"Trumps capitulation to RussiaPete Hegseth (head of the Pentagon):) a return to Ukraines  borders is unrealistic;) Ukraines membership in NATO is unrealistic;) Ukraine should receive a security guarantee in the form of European troops as peacekeeping forces. However, these forces should be sent to Ukraine NOT as a NATO mission, and therefore Article  should not apply to them.Lets be honest. With Trumps return, it was known that the US would want - in one way or another - to quickly end the war in Ukraine. However, no one expected Trump to adopt a policy of such large concessions to Putin. Because if we look at Hegseths declaration today, we have a complete US capitulation to Putin on the subject of Ukraine. Kiev will not join NATO and will not receive any security guarantees from the US. The Americans are shifting the burden of guarantees onto the Europeans, knowing full well that the Europeans themselves will not be able to offer Ukraine anything and there will be no European peacekeeping forces (without a NATO mandate).Except that - to paraphrase Marshal Foch - this is not peace. This is a ceasefire for  years, after which Ukraine will fall into the Russian orbit of influence. But Trump doesnt care. He wont be in power by then anyway, so it wont matter to him. At most - just like in the case of Afghanistan - he will pass the responsibility on to his successors (peace was good, only his successors were not able to enforce it).The biggest loser is of course Europe, which knew full well that the risk of Trumps return and the US-Russia agreement (over the heads of the Europeans) is very high. And we did nothing about it. Europe completely slept through the last  years. There were many pompous declarations (does anyone still remember Macrons announcements about introducing troops to Ukraine?), but their implementation is at a embarrassing level.",4
Fucking good. Keep it up Ukraine. At this rate in 6 months time they will have hit everyone. 😀,4
