text,final_annotation
What did all those Russians and Ukrainians die for,"[[0, 50, ""emotional_fallacy""]]"
"I actually see a difference on the battle field videos lately. Noticing a lot of “Loaf’s”, motorcycles and Madmax looking vehicles. Tanks and heavy artillery vehicles eat huge amounts of fuel. The “Meat”strategy seems to be working, first wave the “Crutch Army” consisting of low calibre men and equipment. Repeat if necessary over and over again. Breakthrough losses fall on deaf ears no political push back and continue. As long as there’s “Meat” it continues.","[[193, 306, ""emotional_fallacy""], [423, 462, ""logical_fallacy""]]"
Rest in peace all of you innocent Ukrainians who has lost their lives. Glory to the heroes defending Ukraine.,[]
"If Ukraine had nuclear weapons wed literally be engulfed in a third world war right now, or living out the aftermath of nuclear strikes.","[[0, 136, ""logical_fallacy""]]"
Clowns are too afraid of getting nuked!,"[[0, 38, ""emotional_fallacy""]]"
Im rooting for Ukrainian terrorists worldwide. Ill donate $ to Sternenko sometime today. Maybe well end up with based ultranationalist and far-right terrorists in Europe and Russia.,"[[0, 46, ""emotional_fallacy""], [89, 181, ""emotional_fallacy""]]"
Ukraine can certainly make nukes in no time! Do it!,"[[0, 44, ""logical_fallacy""], [0, 51, ""emotional_fallacy""]]"
Theres no evidence of this being the actual phone of an actual Ukrainian soldier that has been killed by russian forces and not just someone making a propaganda picture.,[]
"3 out of 10? with painful being what, 1 or 10? Blog/Opinion Piece theres no such thing linked",[]
"Maybe not as sexy as oil and gas, but every dime that ruZ . Zia is denied is worthwhile.","[[0, 88, ""emotional_fallacy""]]"
"Divine Justice will be served sooner or later, which is another dish thats best served cold, ..... or piping hot..... priceless satisfaction. Good always overcome the evil of all mans sins...","[[0, 45, ""logical_fallacy""], [142, 191, ""logical_fallacy""]]"
"I dunno what the point of this is. let Russia win?Why?Russia is on the ropesif we invested a little more, Russia would break. We shouldnt be throwing them a bone.","[[54, 125, ""emotional_fallacy""], [126, 162, ""logical_fallacy""]]"
Each country could have a normal military like normal countries do.,[]
"Okay, so, there are  entries in your db where there are no officials listed. You should probably post them as another .txt file.",[]
At this point in pretty sure Putin will just let everything burn before negotiating peace don’t see it ending in any other way than him possibly getting assassinated.,"[[0, 166, ""logical_fallacy""]]"
"Short on tanks again, but other vehicles getting battered. Good stuff.",[]
NO PISS DEALNO WORLD WITHOUT FRIEREN,[]
I guess he found out. His leg was detachable.,"[[22, 44, ""emotional_fallacy""]]"
Leaves in 5 pointless seconds at the start but cuts just as it explodes…,[]
"Hit the vodka distilleries, sure way to cause a revolution.","[[0, 59, ""emotional_fallacy""]]"
Hrukraine will become second france . But not in the way they wanted to.,"[[0, 36, ""emotional_fallacy""]]"
"What exactly do these figures refer to? To pure military deliveries? It looks like a naive calculation. If you think and calculate a little further, other countries look good, too. For example, almost 1.3 million Ukrainians live in Germany and have access to the entire social system. Including housing, medical care, etc. There are also indirect costs that are difficult to calculate. For example, massive trade losses due to the boycott of Russian products and sanctions on Russia.",[]
"This has been a massively successful operation, I wonder how much economic damage has been done from refinery hits?","[[0, 46, ""emotional_fallacy""]]"
"I thought the Dutch elected some pro Russia guy, how are they aiding Ukraine then?","[[1, 48, ""logical_fallacy""]]"
Stop posting false informations. This is a picture made during a trial at the MOD’s Hebrides Range UK and shows the first UK made Dragon . Fire laser directed energy weapon LDEW system. Stolen from here: ,[]
We already discussed about this.The transfer started on Jan.19th under Biden presidency.,[]
"In related news, Isvestia has reported the discovery of a previously unrecognized retro-virus which causes otherwise mentally stable individuals to seek out high windows and defenestrate ... 😉","[[16, 186, ""logical_fallacy""]]"
It certainly makes their nipples more sensitive,"[[0, 47, ""emotional_fallacy""]]"
True. Trump removes American empire as a whole and that is better for the average american.,"[[6, 91, ""logical_fallacy""]]"
"If you are worried that the war in Ukraine will become your own, then stop half-assing the war.","[[0, 63, ""emotional_fallacy""]]"
