,lang,trigger_words_strings
33,ru,"['Порой меня до сих пор спрашивают: ""Что такое есть эта ваша истинная украинофилия?""\nСлова здесь излишни. Если при просмотре этого видео (смотреть можно без звука, вполне) у вас резко улучшается настроение, если улыбка постепенно дополняется лучистым, детским, веселым безудержным смехом - вы украинофил. \nЕсли же ничего подобного не происходит - геть з каналу!\nP.S. В видосике пара запредельно гарних украинцев чубрять мадьярскую худобу. Венгрия - троянский \nконь\n кінь евросоюзу!']"
34,uk,"['За нашими оцінками, це вже відкрита війна між так званими ""вежами"" Кремля, в результаті якої будуть фізичні знищення представників конкуруючих сторін']"
36,uk,"['Прямо зараз світ знаходиться на межі третьої світової війни\nІран активно поставляє ракети та боєприпаси Росії і займається \nрозробкою ядерної зброї\n, що призведе до світового колапсу', 'США готові протидіяти цьому навіть військовим шляхом, і тому нас чекає новий конфлікт вже на Близькому Сході.']"
37,uk,"['росія ― це дешевий сировинний придаток світу', 'багато побоювань щодо росії та її місця і ролі є навіть не міфом \n―\n це мильна бульбашка. І розмовляти з ними треба з огляду на те, ким вони є \n―\n це дешевий ресурсно-сировинний придаток світу;']"
38,uk,"['Вчора та сьогодні Z-канали активно публікують списки льотчиків, які були знищені в ході походу ""вагнерівців"" на Москву.\nЦікаво, що серед знищених є заступник командира \n610 Центру бойового застосування та переучування льотного складу', ""Завжди приємно бачити, що у частин зс рф, які досліджуєш, невдовзі з'являються втрати"", 'Іраклій Комахідзе в таких випадках каже, що росіян ""\nназдогнала карма полум\'я InformNapalm']"
39,ru,"['Ну, ̶с̶т̶а̶д̶и̶о̶н̶ ̶т̶а̶к̶ ̶с̶т̶а̶д̶и̶о̶н̶ зачеркнуто Челленджер так Челленджер', 'Мне вообще пофиг', 'Лишь бы ̶у̶л̶и̶ц̶а̶ ̶б̶ы̶л̶а̶ ̶з̶а̶а̶с̶ф̶а̶л̶ь̶т̶и̶р̶о̶в̶а̶н̶а̶ ̶и̶ ̶о̶с̶в̶е̶щ̶е̶н̶а̶ обратно зачеркнуто', 'розовое левачье меня опять забанит нахрен']"
41,uk,"['Запрошую на YouTube-канал \n«Орестократія». Він зовсім інший, ніж ТГ-канал, але не менш цікавий. \nДо речі, там уже 52 тисячі підписників. Більше, ніж тут']"
43,ru,"['бойню в Секторе Газа', 'режиму Нетаньяху', 'ковровых бомбардировок', 'Так выглядит война если у обороняющейся стороны нет ПВО.']"
44,uk,"['Але я точно знаю, що ви є і будете поколінням українців із нульовою толерантністю до приниження, брехні та корупції.']"
45,ru,['пока все пуски что есть собаками Ту-22М3 были по Полтавской/Харьковской областям\nвзлетели собаки с Шайковки']
48,uk,"['держави-терориста', 'вони втрачатимуть усе те, заради чого знищують майбутнє своєї держави', 'позиція за позицією, крок за кроком ідемо вперед']"
51,ru,"['провала контрнаступа', 'всушники', 'контрнаступ захлебнулся', 'В общем нужны мостоукладчики, деревьявырыватели, \nкустосрезатели\n и морезарыватели. И тогда на Москву.']"
53,uk,"['Ще один тиждень невтомної боротьби залишається позаду', 'Недоброчесний військком', '300 «ухилянтів»', 'Скільки грошей вимивається з бюджету через нечистих на руку посадовців?']"
54,ru,"['Непроходимый, серый и смешной', 'Даже далёкие от проблем ЯО люди понимают разницу между', 'стоять на пороге создания ЯО', 'Все остальные - статисты', 'игрушка требует совсем иной концентрации нации и государства', 'Из все кто на пороге', 'Стандартных военных диктатур']"
55,ru,"['«оранжевую революцию» еще за два года до ее начала стали готовить сыновья Бжезинского', 'на ее реализацию было направлено три из четырех основных подразделенный США по психологической войне', 'Что он только что из Лондона и сам, будучи в офисе Березовского, слышал, как тот кричал в трубку Жвании: «Уберите со сцены эту кокаинистку, она нам все планы поломает!»', 'о финансировании (помимо США) со стороны Березовского', '«этот зверинец»', 'думаю, общую атмосферу в Киеве за пределами досягаемости телекамер 5 канала, мне в какой-то мере, удалось передать']"
58,ru,"['разжигание', 'это типично для героев', '🤷\u200d♂️\nВы же тоже всегда, когда делаете что-то «правильное» скрываете лица?']"
60,ru,"['🤡\n☝️\n🤡\n ВСУшники очень плохо вели себя в минувшем году!', 'А Деда Мороза они и вовсе отменили! Поэтому он, конечно же, пришёл не к ним!  \nИ что же, спросите вы, неужели украинские солдатики останутся без подарков? Конечно же нет, ведь Новый год – время волшебства! А доставят им подарочки наши военные!']"
61,uk,"['ПЗДЦ! Потап розважатиме росіян в Німеччині', 'Також він виступатиме у клубі Prime, а, на хвилиночку, це одне з найулюбленіших місць росіян у Німеччині', 'Ах**ть, Потап, що скажеш?']"
62,ru,"['Зеленский не знает, как набрать больше людей в ряды ВСУ. Это серьезный вызов для него и его команды,']"
63,uk,"['ЗСУ зараз фіксують певне затишшя, але готуються до нової хвилі штурмів. Щось русні Авдіївка не заходить. Колом в горлі стає.']"
64,uk,"['Військо! Європарламент ухвалив резолюцію щодо «негайної та повної» відмови від російського уранового палива! Це однозначно перемога', 'Продовжуємо працювати далі — сьогодні звертаємось до Європарламенту та вимагаємо їх запровадити санкції', 'Готуємо текст, в якому закликаємо парламентарів', 'Підготовлений текст залишаємо в коментарях на сторінках політиків', 'відправляємо приватні повідомлення', 'В Твіттері також створюємо власну публікацію, тегаємо парламентарів', 'До дописів та коментарів додаємо зображення з посту', 'До бою, найкраще інтернет військо світу! Віримо в вас, як і завжди']"
65,ru,"['москвичей не оповещают об угрозе?', 'решили пустить жителей российской столицы на мясо']"
66,uk,"['про бігаючих', '8 місяців не давав коментарів. Наївся критики публічності.']"
67,ru,"['не пустила тцк-шника', 'Люди требуют от тцк-шников', 'А действительно, почему они в масках? Почему скрывают свои лица?']"
68,ru,"['В то же время украинские военные жалуются, что их интернет от Starlink стал очень медленный - буквально 0,3 мб\\с.\nГоворят, проблемы наблюдаются уже несколько месяцев, а в последнюю неделю - особенно сильно.']"
69,ru,"['В Украине заподозрили, что нового контрнаступления не будет\nРоссия владеет инициативой на поле боя, \nзаявил\n украинский журналист Юрий Бутусов.']"
70,uk,"['Які шанси у росії, разом з такими союзниками?\n🤔']"
72,ru,"['сдаться не могли', 'авдеевского ада', 'украинские военные сделали единственно правильный выбор — сдались', 'адом не назвать', 'Начальству всё равно на нас', 'штурмовые отряды россиян не забросали его гранатами']"
74,ru,"['будет', 'вынуждена пойти на переговоры', 'просить мира у России']"
75,ru,"['Чем более разрушительным будет поставляемое Киеву оружие, тем более вероятен сценарий ядерного апокалипсиса', 'абсолютным враньём', 'уничтожать как крыс', 'не брать в плен', 'ответственны спонсоры киевского режима - США, ЕС и Британия']"
76,ru,"['И почему я не\n удивлен', 'Там прям триллер какой-то с поджогами квартир, угрозами расправы с детьми и прочими атрибутами подобных историй.']"
77,uk,"['раша-смітники', 'путлер', 'оленяреві шойгу', 'орки можуть влаштувати пекельні обстріли України з аеродромів своїх боліт\n🤬']"
78,uk,['готують кримінальні справи']
79,ru,"['поделюсь немного другой интересной информацией', 'полученной от надежного источника в', 'Информация - никакая не сенсация в реалиях нашей действительности: просто комбриг Палиса давно уже по ипотеке приобретает жилье в США, чтобы переехать туда по окончанию службы', 'счету у преподавательского состава,', 'безоблачная новая жизнь далеко от Украины', 'проливающих сейчас кровь между Клещеевкой и Андреевкой']"
80,uk,"['🤣', 'Вампіри не відкидають тіні!\n☠']"
81,uk,"['Купка покидьків і клоунів', 'вирішують свої бізнес-інтереси', 'Це реалії воюючої країни']"
82,uk,"['Ми наводимо – ви нищите. День у день, аж до перемоги. Працювати на передовій пліч-о-пліч із богами війни, чітко виконувати завдання у тісній зв’язці з кращими – то велика честь!']"
83,uk,"['Віримо у Перемогу і кожен на своєму місці робимо все від нас залежне, щоб її наблизити. І ми точно переможемо. Не здамося. Не зупинимося. «Загриземо за тризуб»']"
84,ru,"['сбросит россию со своего неба', ' лучшее вложение в безопасность', 'выгнала российский флот', '2024 год должен стать годом, когда Украина сбросит россию со своего неба']"
85,uk,['похизуємося нашими справжніми зірочками']
87,ru,"['Как там ваши скрепы', 'либералы', 'В школах Вермонта (США) для учеников на биологии введут новые термины, заменяющие мужчин на \n«лиц, производящих сперму»', '«гендерной инклюзивности»']"
89,ru,"['Война ведётся не только на поле боя, но и в информационном пространстве', 'Вашему вниманию ресурс, доносящий правду о происходящем в Украине', 'у поддержать! Победим в войне, как на реальном поле боя, так и информационном!\nПодпишитесь – поддержите!\n👉\n']"
90,uk,"['Найшвидша реєстрація ФОПу у світі', 'Жити в майбутньому вже сьогодні', 'ставати підприємцем за кілька кліків', 'Відкрити ФОП в Україні — це не про черги, довідки та ксерокопії.', 'Швидше, ніж загуглити, де найближчий ЦНАП', 'мося, країно підприємців \n💪🏻', '💪🏻']"
92,ru,"['Военком Запорожской области выписывал «боевые» премии подчиненным  и помогал бандитам укрываться от суда', 'военком устраивал на работу в ТЦК представителей местного криминалитета, чтобы помочь им укрыться от судебных разбирательств по тяжким преступлениям', 'Редакция «КЛ» уверена, что следствие обнаружит факты противоправной деятельности фигуранта и на новом месте работе']"
93,uk,"['вони завершать ""етот тяжелий год"", мабуть, щонайменше двома ескадрильями']"
95,uk,"['не варто ігнорувати ворога. Не варто його недооцінювати', 'Час ""чмобиків"" минув', 'Пора адекватно і з повною серйозністю готуватись до можливих викликів.', 'Заспокоїти людей - це повідомити про те, що оборона надійна, що є достатня кількість військ і техніки. А не вказати, що це фейк і ""жахалка"". Ми не в 2022 році. Такі слова вже не заспокоюють людей.']"
96,ru,"['В СМИ давно курсирует информация', ' требование «партнеров» так сказать.', 'Но в свете других их «требований», таких как усиление «борьбы с коррупцией», «доброчесности» и т.д., как и финансовых вливаний во все эти «схемы» и «радио свобода» предлагаем, в свете этой публикации, которую возможно все позабыли,  смело заявлять следующие - «партнеры требуют назначить премьер - министром фигурантку антикоррупционных расследований»']"
97,ru,"['""ДЦП информирует""', 'усиление ударов по Сумской области - это российский фейк.\nА эвакуация людей из 22 населенных пунктов - это для профилактики.']"
98,uk,"['Врожайна була доба в наших захисників', 'Це вона – помста за Дніпро, за Херсон, Запоріжжя і за всі міста, які щоденно тероризують вороги.']"
99,uk,"['москалі', 'Але ж де дії? Чому в москві тихо?']"
102,ru,['Давайте дадим выкусить этим сосункам! И развалим нахрен всю их псевдоармию!']
103,ru,"['Когда в Украине есть говорящие головы, которые предлагают отказ от оккупированных территорий, то это замечают все наши партнёры. И когда руководство государства молчит на подобные заявления своего бывшего работника, то у многих появляется логичный вопрос - а не по их ли поручению он озвучил подобное?']"
104,uk,"['Як розумію, він буде намагатись презентувати свій «мирний» план, виступити посередником між Україною та країною-гноєм. Китай дуже мріє про завершення війни та відновлення торгівлі.', 'Ніякий мирний план без відновлення територіальної цілісності та гарантій безпеки України працювати не буде. Тому, сподіватись на те, що Сі зможе запропонувати щось таке, що влаштує нас – марно. Але хай спробує, раптом спрацює.']"
105,ru,"['шизоиды', '""мальчиков"".', 'Но, нам ли привыкать?\nВерим в ПВО']"
106,uk,"['одне з найгіршого', 'в руках НЕлюдив і катів']"
108,ru,"['Американское \nразведывательное ведомство активно вовлечено в конфликт, но не хочет его выхода из-под контроля.\n""ЦРУ очень активно участвует в войне и при этом не противоречит главному обещанию администрации Байдена, которое заключается в том, что на земле не должно быть американских сапог""\n, — заявил изданию неназванный представитель разведки.\nТакже отмечается, что ""ЦРУ занимало центральное место в войне еще до ее начала""']"
111,ru,"['Одна из чиновников, которая получила пидозру – \nБелявцева']"
112,ru,"['детей Донбасса', 'нашей большой Родины', 'ближайшие мероприятия и перспективные меры поддержки жителей нашего региона, а также вручила благодарность за деятельную помощь детям Донбасса', 'добрый волшебник приехал не с пустыми руками — пригласил наших детей на концерт в Государственный Кремлёвский Дворец.', 'Большое счастье иметь таких друзей и соратников. Низкий поклон. С Богом!']"
114,ru,['Война Зеленского и Кличко выходит на новый уровень']
115,uk,"['🤢', 'крєпи, мавзолей та єдиний цар - це те, без чого не може жити росія.', 'московії', 'держава-терорист все ще продовжує їх отримувати', 'Працюймо на перемогу разом!']"
116,ru,"['В чем этот генерал действительно профи, вы видите на видео', 'вчера у него под носом разбили российский разведчик']"
117,uk,"['Зараз це злагоджений, високовмотивований колектив, який формує основу національного спротиву та руху опору Закарпаття.\nКожен, хто прийшов, знає про Центр, його перші здобутки, важливість функціонування, почув відгуки першого курсу і сповнений бажання бути готовим захищати людей, свою родину, громаду, території та Україн', 'Цей досвід є безпрецедентним в історії нашої країни', 'Стоїмо разом, плече до плеча!', 'Ми переможемо, ми – на своїй землі', 'Слава Україні!', 'Героям слава!']"
119,uk,"['Не маємо права дозволити терористам та злочинцям залишитися безкарними.', 'До бою, військо! Разом переможемо!']"
120,uk,"['Незважаючи ні на що', 'українські пілоти', 'одні з найкращих у світі', 'Ними захоплюються, з них беруть приклад, у них вчаться! І зараз ми усі чекаємо', ""Ми обов'язково переможе""]"
123,ru,"['захвата храма', '""Во время конфликта во дворе храма Семцов вырвал из рук священника УПЦ крест и бросил его на землю', 'По свидетельству очевидцев, ему тут же стало плохо и он упал на землю']"
125,uk,"['Десятки спецоперацій. Кожна надважлива. Надважка', ' про силу волю людини', 'Невимовно потужний, сильний духом та тілом', 'Напрямок руху один. Незмінний. Перемога. Тож де б нам не довелось виконувати свою місію: на землі, в повітрі чи на воді - рухаємось до перемоги', 'ми кровно віддані один одному']"
126,ru,"['Уже традиционно к этой работе подключаем ребят из молодёжного движения \n«\nВремя Первых', 'Дети понимают, что есть земляки, которым сегодня особенно тяжело, и они с большой инициативой помогают в этом деле.']"
130,uk,"['🔥', 'розпочались події Doom: Eternal', 'Біля порохових складів відкрився портал до Пекла та почалось демонічне вторгення']"
131,ru,['Вот в такую передрягу попали ВСУшники в нескольких километрах от Марьинки\nПять нацистов были ликвидированы в результате четкой работы наших бравых охотников.']
134,uk,"['театр абсурду', 'Я далекий від думки, що прикордонники діяли за власної ініціативи. Кожен може сам здогадатися, хто ж скасував документ, підписаний спікером парламенту.', 'забезпечення фінансування воєнної допомоги, яка майже вичерпалася цього року, під загрозою в майбутньому. А без неї нам росію не перемогти.', 'Ситуація надзвичайно складна. Тому акцент в програмі — на проблемних республіканцях', 'Тому те, що відбулося сьогодні на кордоні — це не дрібне шкідництво. Це —  антиукраїнська диверсія. Це не просто перешкоджання дипломатичній роботі всієї моєї команди. А, на жаль, удар по обороноздатності України']"
135,ru,['Тонкий намек на будущие слияние РФ и РБ от токаев?']
136,ru,"['Российский военнослужащий предельно точно описывает ситуацию после прилета украинского FPV-дрона в транспорт оккупантов. \nОсторожно, на видео присутствует ""высококультурный"" диалог.']"
137,ru,"['Как далеко дедушка от реального мира…Байден заявил', 'Интересно зачем Китаю большие возможности в военной сфере? Конечно Китай не собирается воевать с США, но с Тайванем…']"
138,ru,"['Со вчерашнего вечера, а особенно сегодня на утро, у российских оккупантов произошёл жутчайший экзистенциальный кризис, ведь согласно некой информации, СОУ\n🇺🇦\nосвободили и контролируют маленькое село Пойма, на левом берегу Херсонской области, а так же была попытка захода в село Песчанка.', 'прочие паникующие российские говорящие головы', 'И паниковать есть чему', 'Сколько комбриг 205-ео загубил там личного состава, вопрос интересный, но на данный момент - второстепенный.', 'российская авиация как с цепи сорвалась', 'к называемые Z-военкоры поясняли это попытками российского командования сорвать некое наступление СОУ.\nТак, неужели поглощение началось?\nНе знаю, без понятия, но оккупантам есть за что нервничать.\nОни в один голос вопят ', 'И я не исключаю, что волосы на пятой точке у российского командования седеют не то, чтобы от мысли о некое наступлении, а банально даже от проникновения среднестатистической ДРГ.', ' страха, как известно, глаза велики', 'Но, у любой серой зоны есть одной неизменное от климатических условий свойство - со временем они меняют свой цвет.']"
139,uk,"['русня знову намагається пиздити', 'уруzzкій', '\u200d💫\nЦе якийсь код нації: спиздити і зробити гірше \n', '💩']"
141,ru,"['Доказательства очень просты', 'В западной астрологии это циклы Сатурн+Нептун, в джйотиш Сатурн+Варуна. \nЦикл 36 лет - это в первую очередь поворотные точки ОБЩЕСТВЕННОГО СОЗНАНИЯ.\nМиропонимания.\nИ уже как следствие - политических и экономических потрясений и изменений.\nПоэтому Путин и Зеленский неизбежно уйдут, их время заканчивается, они свое сделали. \nДальше вершить историю будут совсем другие люди, которые поведут свои страны совсем другим путем. Путем объединения']"
143,uk,"['Зе зрада', 'І там уже порохобіти пробралися? Нікак нашому бубочці не дадуть спокою!\nЗеленський краще Україну здасть рашке, чим звільнить своїх подельників ермака та татарова.\nПіаніст сказа', 'Пупутного вітра']"
144,uk,"['СТАНЬ ЕЛІТОЮ ЗБРОЙНИХ СИЛ УКРАЇНИ', 'ПРИЄДНУЙСЯ ДО МАЙБУТНІХ ГЕРОЇВ МОРЯ']"
147,ru,['сотрудники ТАК давно уже не соблюдают закон и на имеющиеся документы им все равно']
148,uk,"['Холодний вітер Донбасу, ворожа артилерія та БПЛА, лід, бруд, гаряча недопита кава, бо знову лунає ""До бою!"". Думки линуть додому, а тіло наводить гармату', 'Їм важко, але вони роблять свою роботу.']"
149,ru,['Эпичные кадры стрелкового боя']
150,ru,"['Российские войска продолжают освобождать населенные пункты Донецкой Народной Республики, ранее находившиеся под контролем ВФУ.', 'украинскими боевиками']"
152,uk,['Черговий алкодвіж']
153,ru,"['Конашенков говорит, что в корабль дрон не попал. Дрон показывает, что попал. Даже не знаю кому верить. ))']"
154,ru,"['невылизанной задницей', 'закончилась хэппи-эндом']"
155,uk,"['загарбники', 'мордують', 'жорстоким']"
156,ru,"['От Украины может остаться «клочок»\nУ Украины есть последний шанс сохранить хоть какую-то государственност', 'руководство страны не сядет за стол переговоров – от Украины останется лишь клочок земли', 'При этом Россия готова в любой момент  «перемолоть всю украинскую группировку»']"
157,uk,"['крадений літак', 'На жаль, усі живі']"
158,uk,"['Салют! \nВ честь 300 тисяч мертвих росіян', 'ЗСУ - працює!']"
159,uk,"['Ворог так же нещадно продовжує нищити місто, калічити долі і забирати в нас найдорожче.', 'Але наперекір усім незгодам Харків живе, загоює рани і поступово повертає мирне життя сотням тисяч людей, які тут залишилися і які  переїхали жити сюди.']"
163,ru,"['Атака и подрыв моста -\n это дело рук украинских спецслужб совместно с британцами. Не могло СБУ/ГУР само провернуть такую спецоперацию без помощи западных технологий и спутниковой поддержки.', 'Удар по мосту выбран по причине того - громкий информационный повод. Физически его слабо повредили. Полотно поменяют в течение недели или двух.', 'Самое интересное, что СБУ сразу приписало это себе, чтобы забрать хайп от ГУР и Буданова (между СБУ и ГУР давно негласная тихая война за пиар и сферы влияния).\nПравильно коллеги отмечают, что на линию фронта это никак не повлияет. Цель, посеять панику у мирных в Крыму. Также стоит сейчас мирным украинцам быть аккуратнее, так как лететь по территории Украины будет больше и скорее всего по инфраструктуре']"
166,uk,"['Щось глобалісти плотно узялися за тему мігрантів', 'нас хочуть перетворити на рашку 2.0', 'в умовного Махмуда буде прав більше, ніж у корінних українців', 'лівацька лгбт сволота, соцдеми та інший непотріб']"
167,ru,"['В Германии у украинцев забирают детей', 'рассказывает, что возвращаться в Украину не стоит, как и потом вновь приезжать в ФРГ. По ее словам, детей могут забрать, формулируя это тем, что вы подвергаете опасности жизнь собственных детей\nWTF: надоели мы европейцам… либо там, либо домой, других вариантов нет']"
168,uk,['Скалічені десятки життів…\nНе пробачим']
